हेपेटाइटिस- बची तपासणी.	hepatitis- bachi tapasni.
१६) लिंगायत हे स्त्री गौरवाचे व स्रीजगताच्या उद्धाराचे एक वैशिष्टयपूर्ण सूत्र आहे.	16) Lingayat he stree gauravache va srijagtachya uddharache ek vaishistyapurna sutra ahe.
आणि त्या संस्थेने तिला सर्वोच्च असा गोल्ड वेब अवार्ड पुरस्कार दिला आहे.	aani tya sansthene tila sarvoccha asa Gold Web Award puraskar dila aahe.
धामण	dhaman
केप टाउन आफ्रिकेच्या नैऋत्य टोकाजवळ आहे.	Cape Town Afrikechya Nairutya tokajawal ahe.
ई-कचरा निर्माण करणार्‍या देशातील प्रमुख शहरांमध्ये दिल्ली, मुंबई, बंगलोर, कलकत्ता, चेन्नई आणि हैदराबाद या महानगरांचा आणि पुण्यासारख्या आयटी क्षेत्राशी संबंधित शहरांचा समावेश आहे.	e-kachra nirman karnarya deshatil pramukh shaharanmadhye Delhi, Mumbai, Banglore, Calcutta, Chennai ani Hyderabad yaa mahanagrancha ani Punyasarkhya IT kshetrashi sambandhit shaharancha samavesh ahe.
कोण तू कुठला राजकुमार? (गीतरामायण)	kon tu kuthla Rajkumar? (Geetramayan)
मराठवाड्यात जातिभेद अतिशय बोकाळला आहे असे अनेकांचे म्हणणे आहे.	marathwadyat jaatibhed atishay bokalla ahe ase anekanche mhanne ahe.
इंद्रायणी सावकार यांनी, सांगली जिल्ह्यातल्या अंकलखोप गावातील शेतकरी महिला वैशाली पाटील यांना लिहिते केले.	Indrayani Savkar yanni, Sangli zillyatlya Ankalkhop gavatil shetkari mahila Vaishali Patil yanna lihite kele.
हैदराबाद मुक्तिसंग्रामात त्यांनी भूमिगत राहून सक्रिय सहभाग घेतला होता.	Hyderabad Muktisangramat tyanni bhumigat rahun sakriya sahbhag ghetla hota.
त्यांचे शालेय शिक्षण न्यूयॉर्क पब्लिक स्कूलमध्ये झाले..	tyanche shaleya shikshan Newyork public schoolmadhye jhale..
दलित ब्राह्मण	dalit brahman
पुढे फरमोर यांनी उर्वरीत प्रवासाचे वर्णन आणखी दोन खंडात लिहीले.	pudhe Furmore yanni urvarit pravasache varnan ankhi don khandat lihile.
पहिले पाच निबंध हे दृश्य संस्कृतीशी निगडित आहेत आणि बाकीचे सांस्कृतिक व्यवहार म्हणून वाङ्मयीन साहित्याकडे बघतात.	pahile paach nibandha he drushya sanskritishi nigadit ahet ani bakiche sanskrutik vyavahar mhanun vagmayin sahityakade baghtat.
प्रिये पहा रात्रीचा समय सरुनि (सौभद्र)	priye paha ratricha samay saruni (saubhadra)
सिनेमॅटोग्राफर-दिग्दर्शक तेजा यांनी त्याला पुढे चाल दिली.	cinematographer-digdarshak Teja yanni tyala pudhe chal dili.
वैद्यकीय सामाजिक मार्गदर्शक	vaidyakiya samajik margadarshak
"राष्ट्रीय मधुमक्षिका दिवस " हा प्रतिवर्षी ऑगस्ट महिन्याच्या तिसऱ्या शनिवारी साजरा केला जातो.	"Rashtriya Madhumakshika Divas " ha prativarshi August mahinyachya teesrya Shaniwari sajra kela jato.
काठीयावाड आणि इंदोर शस्त्रांच्या ब्रिटीश कारभारापूर्वी पुरदनाशिनच्या वतीने सोरबजींना विशेष परवानगी देण्यात आली होती, परंतु ती एक महिला या नात्याने न्यायालयात बचाव करण्यास असमर्थ ठरली.	Kathiawad ani Indore shastranchya British karbharapurvi Purdanshinchya vatine Sorbajinna vishesh parvangi denyat aali hoti, parantu ti ek mahila yaa natyane nyayalayat bachav karnyas asamartha tharli.
या नदीवरुन या उद्यानाचे नाव गलाथिया पडले आहे.	ya nadivarun yaa udyanache naav Galathiya padle ahe.
ओमप्रकाश चौटाला (जन्म: १ जानेवारी १९३५) हे भारतामधील हरियाणा राज्याचे माजी मुख्यमंत्री व भारतीय राष्ट्रीय लोक दलाचे नेते आहेत.	Omprakash Chautala (janma: 1 January 1935) he bharatamadhil Hariyana rajyache maaji Mukhyamantri va Bhartiya Rashtriya Lok dalache nete ahet.
मीय्या भोवोस गेल्लो.	Miyaa bhovos gello.
या चित्रपटातील झीनत अमान वर चित्रित केलेले "चूरा लिया है " हे गीत (स्वर आशा भोसले आणि मोहम्मद रफी) नेहेमीकरिता स्मरणात राहिले.	ya chitrapatatil Zeenat Aman var chitrit kelele "chura liya hai " he geet (swar Asha Bhosle ani Mohammad Rafi) nehemikarita smarnaat rahile.
सध्या जपान एअरलाइन्स प्रवासी सेवा पुरवणारी जगातील सहाव्या क्रमांकाची विमान कंपनी आहे.	sadhya Japan Airlines pravasi seva puravnari jagatil sahavya kramankachi viman company ahe.
