हेपेटाइटिस	hepatitis
देवाळा	devala
देवाळा	devala
दौडगाव	daudgaon
धार	dhar
नांदखेडा	nandkheda
नांदगाव	nandgaon
नागझरी	naagzari
नागेशवाडी	nageshwadi
नालेगाव	nalegaon
निशाणा	nishana
पांगरा	pangra
पार्डी	pardi
सावळी	savali
पिंपळदरी	pimpaldari
पिंपळा	pimpala
पुरजळ	purjal
पूर	pur
पोटा	pota
पोटा	pota
खुर्द	khurd
फुलदाभा	phuldabha
बेरुळा	berula
बोरजा	borja
ब्राह्मणवाडा	brahmanvada
भोसी	bhosi
माथा	matha
मार्डी	mardi
मूर्तीजापूर	murtijapur
सावंगी	savangi
मेथा	metha
येडूत	yedut
येळी	yeli
येहळेगाव	yehalegaon
रांजाळा	ranjala
राजदरी	raajdari
राजापूर	rajapur
रामेश्वर	rameshwar
रूपूर	rupur
लक्ष्मणनाईक	laxmannaik
तांडा	tanda
लांडाळा	landala
लाख	lakh
लोहरा	lohra
खुर्द	khurd
लोहरा	lohra
बुद्रूक	budruk
वगरवाडी	vagarwadi
वगरवाडी	vagarwadi
तांडा	tanda
वडचुना	vadchuna
वडद	vadad
वसई	vasai
वाळकी	valki
शिरड	shirad
शहापूर	shahapur
शिरला	shirla
संमगानाईक	samanganaik
तांडा	tanda
सारंगवाडी	sarangwadi
साळणा	salna
सावरखेडा	savarkheda
सावळी	savali
खूर्द	khurd
सावळी	savali
बुद्रूक	budruk
सिद्धेश्‍वर	siddheshwar
सुकापूर	sukapur
सुरेगाव	suregaon
सूरवाडी	surwadi
सेंदूरसना	sendursana
सोनवाडी	sonwadi
हिवरखेडा	hivarkheda
हिवराजाटू	hivrajatu
........	…..
</s>	</s>
हे	he
पात्र	paatra
एका	eka
दुबईमधील	dubaimadhil
व्यापार्‍याने	vyaparyane
मुंबईमधील	mumbaimadhil
एका	eka
वस्तुसंग्रहालयाला	vastusangrahalayala
पाठविले	pathavile
होते	hote
</s>	</s>
ऋग्वेदाचे	rugvedache
कविताबद्ध	kavitabaddha
रूपांतर	rupantar
</s>	</s>
गडावर	gadavar
पाणी	paani
नसल्याने	naslyane
वा	vaa
सावलीसाठी	savalisathi
झाड	zaad
नसल्याने	naslyane
सोबत	sobat
आणलेलं	anlela
पाणी	paani
प्यायचं	pyayacha
आणि	aani
आल्या	aalya
वाटेने	vatene
गड	gad
उतरावा	utravaa
</s>	</s>
एन	n
लाइव	live
या	ya
वाहिनीवरील	vahinivaril
एक	ek
प्रसिद्ध	prasidha
कार्यक्रम	karyakram
आहे	ahe
</s>	</s>
उ	u
अमजद	amjad
अली	ali
खान	khan
</s>	</s>
मणिपूर	manipur
मधील	madhil
लोकटक	loktak
तलाव	talav
</s>	</s>
भ्रूणवृद्धि	bhrunvruddhi
होत	hot
असता	asta
त्याभोवती	tyabhovati
उल्ब	ulb
नावाचे	navache
एक	ek
पातळ	patal
आवरण	aavaran
तयार	tayaar
होते	hote
</s>	</s>
ज्ञानेश्वरांच्या	dnyaneshwaranchya
काळात	kalat
म्हणजे	mhanje
१२व्या	12vya
शतकात	shatakat
प्रचलित	prachalit
असलेली	asleli
प्राकृत	praakrut
ते	te
आताची	atachi
२१व्या	21vya
शतकात	shatakat
बोलली	bolli
जाणारी	janari
मराठी	marathi
यात	yaat
खूप	khup
फरक	farak
आहे	ahe
</s>	</s>
त्यांनी	tyani
इ	i
</s>	</s>
ही	he
कंपनी	company
चित्रपट	chitrapat
दिग्दर्शक	digdarshak
नीरज	neeraj
पांडे	pande
आणि	ani
निर्मात्या	nirmatya
शीतल	sheetal
भाटिया	bhatiya
यांनी	yanni
स्थापन	sthapan
केली	keli
आहे	ahe
</s>	</s>
स्टीफन	stephan
हॉकिंग	hawking
</s>	</s>
कोल्हापुर	kolhapur
पासून	pasun
अंदाजे	andaje
दहा	daha
किलोमीटर	kilometer
अंतरावर	antaravar
उंचगाव	unchgaon
या	ya
ठिकाणी	thikani
आहे	ahe
</s>	</s>
शायरी	shayari
पुण्याची	punyachi
या	yaa
संकलित	sankalit
उर्दू-गझल-संग्रहात	urdu-gazal-sangrahat
संगीता	sangeeta
जोशी	joshi
यांच्या	yanchya
दोन	don
उर्दू	urdu
गझलांचा	gazlancha
समावेश	samavesh
झालेला	jhalela
आहे	ahe
</s>	</s>
हे	he
सन्यासी	sanyasi
स्वतःला	swatahla
भारतमातेचे	bharatmateche
संतान	santaan
म्हणजे	mhanje
अपत्य	apatya
असे	ase
म्हणत	mhant
असत	asat
</s>	</s>
१९५९	1959
ते	te
१९६९	1969
अशी	ashi
१०	10
वर्षे	varshe
त्या	tya
लेखनिक	lekhnik
म्हणून	mhanun
काम	kaam
करत	karat
होत्याच	hotyach
पण	pan
१९६९मध्ये	1969madhye
धुंडीराजशास्त्री	dhundirajshastri
वारल्यावरही	varlyavarahi
महादेवकरांनी	mahadevakarani
त्यांचे	tyanche
काम	kaam
पुढे	pudhe
काही	kahi
वर्षे	varshe
सुरू	suru
ठेवले	thevle
</s>	</s>
प्रसवपूर्व	prasavpurva
विकासाच्या	vikasachya
विविध	vividh
अवस्थांचा	avasthancha
निर्देश	nirdesh
सुलभ	sulabh
व्हावा	vhava
म्हणून	mhanun
मानवी	manavi
गर्भावस्था	garbhavastha
तीन	teen
तिमाहींच्या	timahinchya
कालावधीत	kalavadhit
विभागली	vibhagali
जाते	jaate
</s>	</s>
मराठ्यांनी	marathyanni
त्याची	tyachi
उपयुक्तता	upyuktata
पाहून	pahun
आपल्या	aaplya
बाजूला	bajula
वळवले	valavle
</s>	</s>
बुद्धिदाता	buddhidaata
श्रीगणेश	shriganesh
कवितासंग्रह	kavitasangrah
</s>	</s>
१६	16
लिंगायत	lingayat
हे	he
स्त्री	stree
गौरवाचे	gauravache
व	va
स्रीजगताच्या	srijagtachya
उद्धाराचे	uddharache
एक	ek
वैशिष्टयपूर्ण	vaishistyapurna
सूत्र	sutra
आहे	ahe
</s>	</s>
आणि	aani
त्या	tya
संस्थेने	sansthene
तिला	tila
सर्वोच्च	sarvoccha
असा	asa
गोल्ड	gold
वेब	web
अवार्ड	award
पुरस्कार	puraskar
दिला	dila
आहे	aahe
</s>	</s>
धामण	dhaman
</s>	</s>
केप	cape
टाउन	town
आफ्रिकेच्या	afrikechya
नैऋत्य	nairutya
टोकाजवळ	tokajawal
आहे	ahe
</s>	</s>
ई-कचरा	e-kachra
निर्माण	nirman
करणार्‍या	karnarya
देशातील	deshatil
प्रमुख	pramukh
शहरांमध्ये	shaharanmadhye
दिल्ली	delhi
मुंबई	mumbai
बंगलोर	banglore
कलकत्ता	calcutta
चेन्नई	chennai
आणि	ani
हैदराबाद	hyderabad
या	yaa
महानगरांचा	mahanagrancha
आणि	ani
पुण्यासारख्या	punyasarkhya
आयटी	it
क्षेत्राशी	kshetrashi
संबंधित	sambandhit
शहरांचा	shaharancha
समावेश	samavesh
आहे	ahe
</s>	</s>
कोण	kon
तू	tu
कुठला	kuthla
राजकुमार	rajkumar
गीतरामायण	geetramayan
</s>	</s>
मराठवाड्यात	marathwadyat
जातिभेद	jaatibhed
अतिशय	atishay
बोकाळला	bokalla
आहे	ahe
असे	ase
अनेकांचे	anekanche
म्हणणे	mhanne
आहे	ahe
</s>	</s>
इंद्रायणी	indrayani
सावकार	savkar
यांनी	yanni
सांगली	sangli
जिल्ह्यातल्या	zillyatlya
अंकलखोप	ankalkhop
गावातील	gavatil
शेतकरी	shetkari
महिला	mahila
वैशाली	vaishali
पाटील	patil
यांना	yanna
लिहिते	lihite
केले	kele
</s>	</s>
हैदराबाद	hyderabad
मुक्तिसंग्रामात	muktisangramat
त्यांनी	tyanni
भूमिगत	bhumigat
राहून	rahun
सक्रिय	sakriya
सहभाग	sahbhag
घेतला	ghetla
होता	hota
</s>	</s>
त्यांचे	tyanche
शालेय	shaleya
शिक्षण	shikshan
न्यूयॉर्क	newyork
पब्लिक	public
स्कूलमध्ये	schoolmadhye
झाले	jhale
</s>	</s>
दलित	dalit
ब्राह्मण	brahman
</s>	</s>
पुढे	pudhe
फरमोर	furmore
यांनी	yanni
उर्वरीत	urvarit
प्रवासाचे	pravasache
वर्णन	varnan
आणखी	ankhi
दोन	don
खंडात	khandat
लिहीले	lihile
</s>	</s>
पहिले	pahile
पाच	paach
निबंध	nibandha
हे	he
दृश्य	drushya
संस्कृतीशी	sanskritishi
निगडित	nigadit
आहेत	ahet
आणि	ani
बाकीचे	bakiche
सांस्कृतिक	sanskrutik
व्यवहार	vyavahar
म्हणून	mhanun
वाङ्मयीन	vagmayin
साहित्याकडे	sahityakade
बघतात	baghtat
</s>	</s>
प्रिये	priye
पहा	paha
रात्रीचा	ratricha
समय	samay
सरुनि	saruni
सौभद्र	saubhadra
</s>	</s>
सिनेमॅटोग्राफर-दिग्दर्शक	cinematographer-digdarshak
तेजा	teja
यांनी	yanni
त्याला	tyala
पुढे	pudhe
चाल	chal
दिली	dili
</s>	</s>
वैद्यकीय	vaidyakiya
सामाजिक	samajik
मार्गदर्शक	margadarshak
</s>	</s>
राष्ट्रीय	rashtriya
मधुमक्षिका	madhumakshika
दिवस	divas
"	"
हा	ha
प्रतिवर्षी	prativarshi
ऑगस्ट	august
महिन्याच्या	mahinyachya
तिसऱ्या	teesrya
शनिवारी	shaniwari
साजरा	sajra
केला	kela
जातो	jato
</s>	</s>
काठीयावाड	kathiawad
आणि	ani
इंदोर	indore
शस्त्रांच्या	shastranchya
ब्रिटीश	british
कारभारापूर्वी	karbharapurvi
पुरदनाशिनच्या	purdanshinchya
वतीने	vatine
सोरबजींना	sorbajinna
विशेष	vishesh
परवानगी	parvangi
देण्यात	denyat
आली	aali
होती	hoti
परंतु	parantu
ती	ti
एक	ek
महिला	mahila
या	yaa
नात्याने	natyane
न्यायालयात	nyayalayat
बचाव	bachav
करण्यास	karnyas
असमर्थ	asamartha
ठरली	tharli
</s>	</s>
या	ya
नदीवरुन	nadivarun
या	yaa
उद्यानाचे	udyanache
नाव	naav
गलाथिया	galathiya
पडले	padle
आहे	ahe
</s>	</s>
ओमप्रकाश	omprakash
