हेपेटाइटिस-	hepatitis-
</s>	</s>
अंजनवाडा	Anjanvada
अंजनवाडी	Anjanvadii
अनखळी	Ankhali
असोंदा	Asonda
असोला	Asola
असोला	Asola
आजरसोंडा	Aajarsonda
आमदरी	Aamdari
उंडेगाव	Undegaon
उखळी	Ukhli
उमरा	Umra
औंढा	Aundha
नागनाथ	Naagnath
कंजारा	Kanjara
काकडदाभा	Kakaddabha
काठोडा	Kathoda
तांडा	Tanda
कुंडकर	Kundkar
पिंपरी	Pimpri
केळी	Keli
कोंडशी	Kondshi
बुद्रूक	Budruk
गढाळा	Gadhala
गांगलवाडी	Gangalwadi
गोजेगाव	Gojegaon
गोळेगाव	Golegaon
चिंचोली	Chincholi
चिमेगाव	Chimegaon
चोंडी	Chondi
शहापूर	Shahapur
जडगाव	Jadgaon
जलालदाभा	Jalaldabha
जलालपूर	Jalalpur
जवळा	Javla
जामगव्हाण	Jamgavhan
जोडपिंपरी	Jodpimpri
टाकळगाव	Takalgaon
ढेगज	Dhegaj
तपोवन	Tapovan
दुघाळा	Dughala
तामटी	Tamtii
तांडा	Tanda
दरेगाव	Daregaon
दुरचुना	Durchuna
देवाळा	Devala
देवाळा	Devala
दौडगाव	Daudgaon
धार	Dhar
नांदखेडा	Nandkheda
नांदगाव	Nandgaon
नागझरी	Naagzari
नागेशवाडी	Nageshwadi
नालेगाव	Nalegaon
निशाणा	Nishana
पांगरा	Pangra
पार्डी	Pardi
सावळी	Savali
पिंपळदरी	Pimpaldari
पिंपळा	Pimpala
पुरजळ	Purjal
पूर	Pur
पोटा	Pota
पोटा	Pota
खुर्द	Khurd
फुलदाभा	Phuldabha
बेरुळा	Berula
बोरजा	Borja
ब्राह्मणवाडा	Brahmanvada
भोसी	Bhosi
माथा	Matha
मार्डी	Mardi
मूर्तीजापूर	Murtijapur
सावंगी	Savangi
मेथा	Metha
येडूत	Yedut
येळी	Yeli
येहळेगाव	Yehalegaon
रांजाळा	Ranjala
राजदरी	Raajdari
राजापूर	Rajapur
रामेश्वर	Rameshwar
रूपूर	Rupur
लक्ष्मणनाईक	Laxmannaik
तांडा	Tanda
लांडाळा	Landala
लाख	Lakh
लोहरा	Lohra
खुर्द	Khurd
लोहरा	Lohra
बुद्रूक	Budruk
वगरवाडी	Vagarwadi
वगरवाडी	Vagarwadi
तांडा	Tanda
वडचुना	Vadchuna
वडद	Vadad
वसई	Vasai
वाळकी	Valki
शिरड	Shirad
शहापूर	Shahapur
शिरला	Shirla
संमगानाईक	Samanganaik
तांडा	Tanda
सारंगवाडी	Sarangwadi
साळणा	Salna
सावरखेडा	Savarkheda
सावळी	Savali
खूर्द	Khurd
सावळी	Savali
बुद्रूक	Budruk
सिद्धेश्‍वर	Siddheshwar
सुकापूर	Sukapur
सुरेगाव	Suregaon
सूरवाडी	Surwadi
सेंदूरसना	Sendursana
सोनवाडी	Sonwadi
हिवरखेडा	Hivarkheda
हिवराजाटू	Hivrajatu
........	…..
</s>	</s>
हे	he
पात्र	paatra
एका	eka
दुबईमधील	Dubaimadhil
व्यापार्‍याने	vyaparyane
मुंबईमधील	Mumbaimadhil
एका	eka
वस्तुसंग्रहालयाला	vastusangrahalayala
पाठविले	pathavile
होते.	hote.
</s>	</s>
ऋग्वेदाचे	Rugvedache
कविताबद्ध	kavitabaddha
रूपांतर	rupantar
</s>	</s>
गडावर	gadavar
पाणी	paani
नसल्याने	naslyane
वा	vaa
सावलीसाठी	savalisathi
झाड	zaad
नसल्याने	naslyane
सोबत	sobat
आणलेलं	anlela
पाणी	paani
प्यायचं	pyayacha
आणि	aani
आल्या	aalya
वाटेने	vatene
गड	gad
उतरावा.	utravaa.
</s>	</s>
एन	N
लाइव	live
या	ya
वाहिनीवरील	vahinivaril
एक	ek
प्रसिद्ध	prasidha
कार्यक्रम	karyakram
आहे.	ahe.
</s>	</s>
उ.	U.
अमजद	Amjad
अली	Ali
खान	Khan
</s>	</s>
मणिपूर	Manipur
मधील	madhil
लोकटक	loktak
तलाव	talav
</s>	</s>
भ्रूणवृद्धि	bhrunvruddhi
होत	hot
असता	asta
त्याभोवती	tyabhovati
उल्ब	Ulb
नावाचे	navache
एक	ek
पातळ	patal
आवरण	aavaran
तयार	tayaar
होते.	hote.
</s>	</s>
ज्ञानेश्वरांच्या	Dnyaneshwaranchya
काळात	kalat
म्हणजे	mhanje
१२व्या	12vya
शतकात	shatakat
प्रचलित	prachalit
असलेली	asleli
प्राकृत	praakrut
ते	te
आताची	atachi
२१व्या	21vya
शतकात	shatakat
बोलली	bolli
जाणारी	janari
मराठी	marathi
यात	yaat
खूप	khup
फरक	farak
आहे.	ahe.
</s>	</s>
त्यांनी	tyani
इ.	i.
</s>	</s>
ही	he
कंपनी	company
चित्रपट	chitrapat
दिग्दर्शक	digdarshak
नीरज	Neeraj
पांडे	Pande
आणि	ani
निर्मात्या	nirmatya
शीतल	Sheetal
भाटिया	Bhatiya
यांनी	yanni
स्थापन	sthapan
केली	keli
आहे..	ahe..
</s>	</s>
स्टीफन	Stephan
हॉकिंग	Hawking
</s>	</s>
कोल्हापुर	Kolhapur
पासून	pasun
अंदाजे	andaje
दहा	daha
किलोमीटर	kilometer
अंतरावर	antaravar
उंचगाव	Unchgaon
या	ya
ठिकाणी	thikani
आहे.	ahe.
</s>	</s>
’शायरी	Shayari
पुण्याची’	Punyachi'
या	yaa
संकलित	sankalit
उर्दू-गझल-संग्रहात	Urdu-Gazal-Sangrahat
संगीता	Sangeeta
जोशी	Joshi
यांच्या	yanchya
दोन	don
उर्दू	Urdu
गझलांचा	Gazlancha
समावेश	samavesh
झालेला	jhalela
आहे.	ahe.
</s>	</s>
हे	he
सन्यासी	sanyasi
स्वतःला	swatahla
भारतमातेचे	Bharatmateche
"संतान"	"santaan"
म्हणजे	mhanje
अपत्य	apatya
असे	ase
म्हणत	mhant
असत.	asat.
</s>	</s>
१९५९	1959
ते	te
१९६९	1969
अशी	ashi
१०	10
वर्षे	varshe
त्या	tya
लेखनिक	lekhnik
म्हणून	mhanun
काम	kaam
करत	karat
होत्याच,	hotyach,
पण	pan
१९६९मध्ये	1969madhye
धुंडीराजशास्त्री	Dhundirajshastri
वारल्यावरही	varlyavarahi
महादेवकरांनी	Mahadevakarani
त्यांचे	tyanche
काम	kaam
पुढे	pudhe
काही	kahi
वर्षे	varshe
सुरू	suru
ठेवले.	thevle.
</s>	</s>
प्रसवपूर्व	prasavpurva
विकासाच्या	vikasachya
विविध	vividh
अवस्थांचा	avasthancha
निर्देश	nirdesh
सुलभ	sulabh
व्हावा	vhava
म्हणून	mhanun
मानवी	manavi
गर्भावस्था	garbhavastha
तीन	teen
तिमाहींच्या	timahinchya
कालावधीत	kalavadhit
विभागली	vibhagali
जाते.	jaate.
</s>	</s>
मराठ्यांनी	marathyanni
त्याची	tyachi
उपयुक्तता	upyuktata
पाहून	pahun
आपल्या	aaplya
बाजूला	bajula
वळवले.	valavle.
</s>	</s>
बुद्धिदाता	buddhidaata
श्रीगणेश	Shriganesh
(कवितासंग्रह)	(kavitasangrah)
</s>	</s>
१६)	16)
लिंगायत	Lingayat
हे	he
स्त्री	stree
गौरवाचे	gauravache
व	va
स्रीजगताच्या	srijagtachya
उद्धाराचे	uddharache
एक	ek
वैशिष्टयपूर्ण	vaishistyapurna
सूत्र	sutra
आहे.	ahe.
</s>	</s>
आणि	aani
त्या	tya
संस्थेने	sansthene
तिला	tila
सर्वोच्च	sarvoccha
असा	asa
गोल्ड	Gold
वेब	Web
अवार्ड	Award
पुरस्कार	puraskar
दिला	dila
आहे.	aahe.
</s>	</s>
धामण	dhaman
</s>	</s>
केप	Cape
टाउन	Town
आफ्रिकेच्या	Afrikechya
नैऋत्य	Nairutya
टोकाजवळ	tokajawal
आहे.	ahe.
</s>	</s>
ई-कचरा	e-kachra
निर्माण	nirman
करणार्‍या	karnarya
देशातील	deshatil
प्रमुख	pramukh
शहरांमध्ये	shaharanmadhye
दिल्ली,	Delhi,
मुंबई,	Mumbai,
बंगलोर,	Banglore,
कलकत्ता,	Calcutta,
चेन्नई	Chennai
आणि	ani
हैदराबाद	Hyderabad
या	yaa
महानगरांचा	mahanagrancha
आणि	ani
पुण्यासारख्या	Punyasarkhya
आयटी	IT
क्षेत्राशी	kshetrashi
संबंधित	sambandhit
शहरांचा	shaharancha
समावेश	samavesh
आहे.	ahe.
</s>	</s>
कोण	kon
तू	tu
कुठला	kuthla
राजकुमार?	Rajkumar?
(गीतरामायण)	(Geetramayan)
</s>	</s>
मराठवाड्यात	marathwadyat
जातिभेद	jaatibhed
अतिशय	atishay
बोकाळला	bokalla
आहे	ahe
असे	ase
अनेकांचे	anekanche
म्हणणे	mhanne
आहे.	ahe.
</s>	</s>
इंद्रायणी	Indrayani
सावकार	Savkar
यांनी,	yanni,
सांगली	Sangli
जिल्ह्यातल्या	zillyatlya
अंकलखोप	Ankalkhop
गावातील	gavatil
शेतकरी	shetkari
महिला	mahila
वैशाली	Vaishali
पाटील	Patil
यांना	yanna
लिहिते	lihite
केले.	kele.
</s>	</s>
हैदराबाद	Hyderabad
मुक्तिसंग्रामात	Muktisangramat
त्यांनी	tyanni
भूमिगत	bhumigat
राहून	rahun
सक्रिय	sakriya
सहभाग	sahbhag
घेतला	ghetla
होता.	hota.
</s>	</s>
त्यांचे	tyanche
शालेय	shaleya
शिक्षण	shikshan
न्यूयॉर्क	Newyork
पब्लिक	public
स्कूलमध्ये	schoolmadhye
झाले..	jhale..
</s>	</s>
दलित	dalit
ब्राह्मण	brahman
</s>	</s>
पुढे	pudhe
फरमोर	Furmore
यांनी	yanni
उर्वरीत	urvarit
प्रवासाचे	pravasache
वर्णन	varnan
आणखी	ankhi
दोन	don
खंडात	khandat
लिहीले.	lihile.
</s>	</s>
पहिले	pahile
पाच	paach
निबंध	nibandha
हे	he
दृश्य	drushya
संस्कृतीशी	sanskritishi
निगडित	nigadit
आहेत	ahet
आणि	ani
बाकीचे	bakiche
सांस्कृतिक	sanskrutik
व्यवहार	vyavahar
म्हणून	mhanun
वाङ्मयीन	vagmayin
साहित्याकडे	sahityakade
बघतात.	baghtat.
</s>	</s>
प्रिये	priye
पहा	paha
रात्रीचा	ratricha
समय	samay
सरुनि	saruni
(सौभद्र)	(saubhadra)
</s>	</s>
सिनेमॅटोग्राफर-दिग्दर्शक	cinematographer-digdarshak
तेजा	Teja
यांनी	yanni
त्याला	tyala
पुढे	pudhe
चाल	chal
दिली.	dili.
</s>	</s>
वैद्यकीय	vaidyakiya
सामाजिक	samajik
मार्गदर्शक	margadarshak
</s>	</s>
"राष्ट्रीय	"Rashtriya
मधुमक्षिका	Madhumakshika
दिवस	Divas
"	"
हा	ha
प्रतिवर्षी	prativarshi
ऑगस्ट	August
महिन्याच्या	mahinyachya
तिसऱ्या	teesrya
शनिवारी	Shaniwari
साजरा	sajra
केला	kela
जातो.	jato.
</s>	</s>
काठीयावाड	Kathiawad
आणि	ani
इंदोर	Indore
शस्त्रांच्या	shastranchya
ब्रिटीश	British
कारभारापूर्वी	karbharapurvi
पुरदनाशिनच्या	Purdanshinchya
वतीने	vatine
सोरबजींना	Sorbajinna
विशेष	vishesh
परवानगी	parvangi
देण्यात	denyat
आली	aali
होती,	hoti,
परंतु	parantu
